title,year,location,project_id,publication_date
Divya Shanthi School & Campus Upgrades / Flying Elephant Studio,2019,"Bengaluru, India",992442,2022-11-19T02:00:00.000Z
Bung Binh House / NH Village Architects,2022,"Thái Bình, Vietnam",992426,2022-11-18T22:00:00.000Z
Courtyard Market under the Big Roof / BIAD,2021,"Beijing, China",992277,2022-11-18T20:00:00.000Z
SAOIR House / refresh*design,2022,"Fortitude Valley, Australia",992230,2022-11-18T18:00:00.000Z
Bonsai House / Cotaparedes Arquitectos,2020,"Guadalajara, Mexico",964644,2022-11-18T16:00:00.000Z
House Campo de Ourique / Atelier 106,2020,"Lisbon, Portugal",992329,2022-11-18T14:00:00.000Z
Ronda House / HANGHAR,2020,"Murcia, Spain",967147,2022-11-18T12:00:00.000Z
Ronda House / HANGHAR,2020,"Murcia, Spain",967147,2022-11-18T12:00:00.000Z
Fire and Rescue Station Wiesbaden-Igstadt / Bayer & Strobel Architekten,2022,"Wiesbaden, Germany",992323,2022-11-18T10:00:00.000Z
Silence House / Alejandro D'Acosta,2021,"Xaagá, Mexico",971075,2022-11-18T07:00:00.000Z
Library House / Fria Folket + Hanna Michelson,2022,"Stockholm, Sweden",992395,2022-11-18T06:00:00.000Z
Courtyard House / cal30.arquitectos,2019,"Boliqueime, Portugal",992311,2022-11-18T03:00:00.000Z
The Ursuline Convent / a2o architecten,2022,"Hasselt, Belgium",992089,2022-11-18T02:00:00.000Z
Esprit House / APOLLO Architects & Associates,2022,"Shibuya City, Japan",992357,2022-11-18T01:00:00.000Z
Reconstruction Design of Wujiaqiao Villager's Home / FANAF + Jiangsu Institute of Urban&Rural Planning and Design,2021,"Suzhou, China",987828,2022-11-18T00:00:00.000Z
Auckland Zoo Administration Building / Ignite Architects,2018,"Auckland, New Zealand",992366,2022-11-17T22:00:00.000Z
Wrapped Light House / Monsoon Projects,2021,"Thrissur, India",992360,2022-11-17T20:00:00.000Z
Clifton Hill Courtyard House / Studio mkn + Eliza Blair Architecture,2022,"Clifton Hill, Australia",992358,2022-11-17T18:00:00.000Z
The Poppy Factory / Henley Halebrown,,"London, United Kingdom",992255,2022-11-17T16:00:00.000Z
Claros del Bosque Community Center / Grupo Edisur,2021,"Cordoba, Argentina",992342,2022-11-17T14:00:00.000Z
Pavilhão Praia / Aberta Arquitetura,2022,"Belo Horizonte, Brazil",992319,2022-11-17T12:00:00.000Z
San Clemente Apartment / Jorge Díaz Estudio,2022,"Santa Cruz de Tenerife, Spain",992201,2022-11-17T10:00:00.000Z
One Park Drive / Herzog & de Meuron,2022,"London, United Kingdom",992302,2022-11-17T07:00:00.000Z
Children's Campus Theodoor / cuypers & Q architecten,2022,"Brussels, Belgium",992351,2022-11-17T06:00:00.000Z
